,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,embark_town,alone
0,0,3,male,22.0,1,0,7.25,S,Third,man,Southampton,No
1,1,1,female,38.0,1,0,71.2833,C,First,woman,Cherbourg,No
2,1,3,female,26.0,0,0,7.925,S,Third,woman,Southampton,Yes
3,1,1,female,35.0,1,0,53.1,S,First,woman,Southampton,No
4,0,3,male,35.0,0,0,8.05,S,Third,man,Southampton,Yes
5,0,3,male,29.69911764705882,0,0,8.4583,Q,Third,man,Queenstown,Yes
6,0,1,male,54.0,0,0,51.8625,S,First,man,Southampton,Yes
7,0,3,male,2.0,3,1,21.075,S,Third,child,Southampton,No
8,1,3,female,27.0,0,2,11.1333,S,Third,woman,Southampton,No
9,1,2,female,14.0,1,0,30.0708,C,Second,child,Cherbourg,No
10,1,3,female,4.0,1,1,16.7,S,Third,child,Southampton,No
11,1,1,female,58.0,0,0,26.55,S,First,woman,Southampton,Yes
12,0,3,male,20.0,0,0,8.05,S,Third,man,Southampton,Yes
13,0,3,male,39.0,1,5,31.275,S,Third,man,Southampton,No
14,0,3,female,14.0,0,0,7.8542,S,Third,child,Southampton,Yes
15,1,2,female,55.0,0,0,16.0,S,Second,woman,Southampton,Yes
16,0,3,male,2.0,4,1,29.125,Q,Third,child,Queenstown,No
17,1,2,male,29.69911764705882,0,0,13.0,S,Second,man,Southampton,Yes
18,0,3,female,31.0,1,0,18.0,S,Third,woman,Southampton,No
19,1,3,female,29.69911764705882,0,0,7.225,C,Third,woman,Cherbourg,Yes
20,0,2,male,35.0,0,0,26.0,S,Second,man,Southampton,Yes
21,1,2,male,34.0,0,0,13.0,S,Second,man,Southampton,Yes
22,1,3,female,15.0,0,0,8.0292,Q,Third,child,Queenstown,Yes
23,1,1,male,28.0,0,0,35.5,S,First,man,Southampton,Yes
24,0,3,female,8.0,3,1,21.075,S,Third,child,Southampton,No
25,1,3,female,38.0,1,5,31.3875,S,Third,woman,Southampton,No
26,0,3,male,29.69911764705882,0,0,7.225,C,Third,man,Cherbourg,Yes
27,0,1,male,19.0,3,2,263.0,S,First,man,Southampton,No
28,1,3,female,29.69911764705882,0,0,7.8792,Q,Third,woman,Queenstown,Yes
29,0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,Southampton,Yes
30,0,1,male,40.0,0,0,27.7208,C,First,man,Cherbourg,Yes
31,1,1,female,29.69911764705882,1,0,146.5208,C,First,woman,Cherbourg,No
32,1,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,Queenstown,Yes
33,0,2,male,66.0,0,0,10.5,S,Second,man,Southampton,Yes
34,0,1,male,28.0,1,0,82.1708,C,First,man,Cherbourg,No
35,0,1,male,42.0,1,0,52.0,S,First,man,Southampton,No
36,1,3,male,29.69911764705882,0,0,7.2292,C,Third,man,Cherbourg,Yes
37,0,3,male,21.0,0,0,8.05,S,Third,man,Southampton,Yes
38,0,3,female,18.0,2,0,18.0,S,Third,woman,Southampton,No
39,1,3,female,14.0,1,0,11.2417,C,Third,child,Cherbourg,No
40,0,3,female,40.0,1,0,9.475,S,Third,woman,Southampton,No
41,0,2,female,27.0,1,0,21.0,S,Second,woman,Southampton,No
42,0,3,male,29.69911764705882,0,0,7.8958,C,Third,man,Cherbourg,Yes
43,1,2,female,3.0,1,2,41.5792,C,Second,child,Cherbourg,No
44,1,3,female,19.0,0,0,7.8792,Q,Third,woman,Queenstown,Yes
45,0,3,male,29.69911764705882,0,0,8.05,S,Third,man,Southampton,Yes
46,0,3,male,29.69911764705882,1,0,15.5,Q,Third,man,Queenstown,No
47,1,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,Queenstown,Yes
48,0,3,male,29.69911764705882,2,0,21.6792,C,Third,man,Cherbourg,No
49,0,3,female,18.0,1,0,17.8,S,Third,woman,Southampton,No
50,0,3,male,7.0,4,1,39.6875,S,Third,child,Southampton,No
51,0,3,male,21.0,0,0,7.8,S,Third,man,Southampton,Yes
52,1,1,female,49.0,1,0,76.7292,C,First,woman,Cherbourg,No
53,1,2,female,29.0,1,0,26.0,S,Second,woman,Southampton,No
54,0,1,male,65.0,0,1,61.9792,C,First,man,Cherbourg,No
55,1,1,male,29.69911764705882,0,0,35.5,S,First,man,Southampton,Yes
56,1,2,female,21.0,0,0,10.5,S,Second,woman,Southampton,Yes
57,0,3,male,28.5,0,0,7.2292,C,Third,man,Cherbourg,Yes
58,1,2,female,5.0,1,2,27.75,S,Second,child,Southampton,No
59,0,3,male,11.0,5,2,46.9,S,Third,child,Southampton,No
60,0,3,male,22.0,0,0,7.2292,C,Third,man,Cherbourg,Yes
61,1,1,female,38.0,0,0,80.0,S,First,woman,Southampton,Yes
62,0,1,male,45.0,1,0,83.475,S,First,man,Southampton,No
63,0,3,male,4.0,3,2,27.9,S,Third,child,Southampton,No
64,0,1,male,29.69911764705882,0,0,27.7208,C,First,man,Cherbourg,Yes
65,1,3,male,29.69911764705882,1,1,15.2458,C,Third,man,Cherbourg,No
66,1,2,female,29.0,0,0,10.5,S,Second,woman,Southampton,Yes
67,0,3,male,19.0,0,0,8.1583,S,Third,man,Southampton,Yes
68,1,3,female,17.0,4,2,7.925,S,Third,woman,Southampton,No
69,0,3,male,26.0,2,0,8.6625,S,Third,man,Southampton,No
70,0,2,male,32.0,0,0,10.5,S,Second,man,Southampton,Yes
71,0,3,female,16.0,5,2,46.9,S,Third,woman,Southampton,No
72,0,2,male,21.0,0,0,73.5,S,Second,man,Southampton,Yes
73,0,3,male,26.0,1,0,14.4542,C,Third,man,Cherbourg,No
74,1,3,male,32.0,0,0,56.4958,S,Third,man,Southampton,Yes
75,0,3,male,25.0,0,0,7.65,S,Third,man,Southampton,Yes
76,0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,Southampton,Yes
77,0,3,male,29.69911764705882,0,0,8.05,S,Third,man,Southampton,Yes
78,1,2,male,0.83,0,2,29.0,S,Second,child,Southampton,No
79,1,3,female,30.0,0,0,12.475,S,Third,woman,Southampton,Yes
80,0,3,male,22.0,0,0,9.0,S,Third,man,Southampton,Yes
81,1,3,male,29.0,0,0,9.5,S,Third,man,Southampton,Yes
82,1,3,female,29.69911764705882,0,0,7.7875,Q,Third,woman,Queenstown,Yes
83,0,1,male,28.0,0,0,47.1,S,First,man,Southampton,Yes
84,1,2,female,17.0,0,0,10.5,S,Second,woman,Southampton,Yes
85,1,3,female,33.0,3,0,15.85,S,Third,woman,Southampton,No
86,0,3,male,16.0,1,3,34.375,S,Third,man,Southampton,No
87,0,3,male,29.69911764705882,0,0,8.05,S,Third,man,Southampton,Yes
88,1,1,female,23.0,3,2,263.0,S,First,woman,Southampton,No
89,0,3,male,24.0,0,0,8.05,S,Third,man,Southampton,Yes
90,0,3,male,29.0,0,0,8.05,S,Third,man,Southampton,Yes
91,0,3,male,20.0,0,0,7.8542,S,Third,man,Southampton,Yes
92,0,1,male,46.0,1,0,61.175,S,First,man,Southampton,No
93,0,3,male,26.0,1,2,20.575,S,Third,man,Southampton,No
94,0,3,male,59.0,0,0,7.25,S,Third,man,Southampton,Yes
95,0,3,male,29.69911764705882,0,0,8.05,S,Third,man,Southampton,Yes
96,0,1,male,71.0,0,0,34.6542,C,First,man,Cherbourg,Yes
97,1,1,male,23.0,0,1,63.3583,C,First,man,Cherbourg,No
98,1,2,female,34.0,0,1,23.0,S,Second,woman,Southampton,No
99,0,2,male,34.0,1,0,26.0,S,Second,man,Southampton,No
100,0,3,female,28.0,0,0,7.8958,S,Third,woman,Southampton,Yes
101,0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,Southampton,Yes
102,0,1,male,21.0,0,1,77.2875,S,First,man,Southampton,No
103,0,3,male,33.0,0,0,8.6542,S,Third,man,Southampton,Yes
104,0,3,male,37.0,2,0,7.925,S,Third,man,Southampton,No
105,0,3,male,28.0,0,0,7.8958,S,Third,man,Southampton,Yes
106,1,3,female,21.0,0,0,7.65,S,Third,woman,Southampton,Yes
107,1,3,male,29.69911764705882,0,0,7.775,S,Third,man,Southampton,Yes
108,0,3,male,38.0,0,0,7.8958,S,Third,man,Southampton,Yes
109,1,3,female,29.69911764705882,1,0,24.15,Q,Third,woman,Queenstown,No
110,0,1,male,47.0,0,0,52.0,S,First,man,Southampton,Yes
111,0,3,female,14.5,1,0,14.4542,C,Third,child,Cherbourg,No
